color,director_name,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score
Color,Fred Zinnemann,38,117,,Drama,JuliaÂ ,6454,1930s|female protagonist|nazi|romantic friendship|writer,44,English,USA,PG,7840000,1977,7.4
Color,Mel Brooks,55,94,,Comedy,High AnxietyÂ ,15115,belldon's hysteria|high anxiety|hitchcockian|murder|parody,102,English,USA,PG,3400000,1977,6.7
Color,John Landis,82,83,,Comedy,The Kentucky Fried MovieÂ ,13915,fake commercial|fake newscast|fake trailer|parody|spoof,109,English,USA,R,650000,1977,6.5
Color,Norman Jewison,20,145,,Drama,F.I.S.T.Â ,5561,1930s|driving through a gate|funeral|senator|trade union,35,English,USA,PG,11000000,1978,6.4
Color,Sharron Miller,8,79,,Horror,Alien ZoneÂ ,440,affair|child murderer|mortician|strangulation|supernatural power,21,English,USA,PG,350000,1978,4.1
Color,John Landis,94,109,141600000,Comedy,Animal HouseÂ ,90177,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,English,USA,R,3000000,1978,7.6
Color,Walter Hill,52,100,,Western,The Long RidersÂ ,7322,bank|breasts|famous score|last man standing|revenge,78,English,USA,R,10000000,1980,7.1
Color,Robert Redford,62,124,54800000,Drama,Ordinary PeopleÂ ,35130,choir|death|friend|suicide|therapy,283,English,USA,R,6000000,1980,7.8
Color,Dennis Hopper,24,94,,Drama,Out of the BlueÂ ,1599,explosion|hitchhiking|punk|trauma|truck driver,27,English,Canada,R,2200000,1980,7.2
Color,Jim Abrahams,134,88,83400000,Comedy,Airplane!Â ,160281,air traffic controller|airplane|airport|pilot|spoof,427,English,USA,PG,3500000,1980,7.8
Color,Steve Rash,13,98,8500000,Comedy,Under the RainbowÂ ,2061,assassin|hotel|japanese tourist|secret service|wizard of oz,34,English,USA,PG,20000000,1981,5.4
Color,Mel Brooks,48,92,,Comedy,History of the World: Part IÂ ,36559,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,English,USA,R,11000000,1981,6.9
Color,Bob Clark,75,94,105500000,Comedy,Porky'sÂ ,31260,female full frontal nudity|revenge|school|sheriff|virginity,152,English,Canada,R,4000000,1981,6.2
Color,Joe Dante,161,91,17986000,Horror,The HowlingÂ ,22773,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,English,USA,R,1000000,1981,6.6
Color,Mel Brooks,48,92,,Comedy,History of the World: Part IÂ ,36559,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,English,USA,R,11000000,1981,6.9
Color,Sidney Lumet,79,129,54000000,Drama,The VerdictÂ ,26310,archdiocese|court|hospital|lawyer|malpractice,154,English,USA,R,16000000,1982,7.8
Color,John Landis,71,116,90400000,Comedy,Trading PlacesÂ ,102895,interracial relationship|poverty|prostitute|scam|stock market,159,English,USA,R,,1983,7.5
Color,Hugh Wilson,45,96,81200000,Comedy,Police AcademyÂ ,87739,misfit|police|police academy|police cadet|police officer,133,English,USA,R,4500000,1984,6.7
Color,Steven Spielberg,70,154,94175854,Drama,The Color PurpleÂ ,60988,book strap|girl|racial discrimination|racial tension|stereotype,199,English,USA,PG-13,15000000,1985,7.8
Color,Clint Eastwood,38,115,41400000,Western,Pale RiderÂ ,39451,gold|miner|preacher|prospector|sheriff,138,English,USA,R,6900000,1985,7.3
Color,Woody Allen,64,88,14792779,Comedy,Radio DaysÂ ,24256,beach|cigarette girl|radio|woman holding a baby|working class,91,English,USA,PG,16000000,1987,7.6
Color,Robert Townsend,21,81,5228617,Comedy,Hollywood ShuffleÂ ,2770,actor|african american|dream|two word title|written and directed by cast member,32,English,USA,R,100000,1987,7
Color,Barry Levinson,100,133,172825435,Drama,Rain ManÂ ,383784,buick|convertible|last will and testament|savant|travel,331,English,USA,R,25000000,1988,8
Color,James Bridges,28,107,16118077,Drama,"Bright Lights, Big CityÂ ",5817,estranged wife|fashion show|magazine|new york city|writer,37,English,USA,R,25000000,1988,5.6
Color,Martin Scorsese,114,164,8373585,Drama,The Last Temptation of ChristÂ ,39680,carpenter|exorcism|faith|reference to jesus christ|temptation,308,English,USA,R,7000000,1988,7.6
Color,Oliver Stone,40,110,3468572,Drama,Talk RadioÂ ,10073,listener|neo nazi|radio|radio station|radio talk show,78,English,USA,R,4000000,1988,7.3
Color,John Carl Buechler,110,88,19170001,Horror,Friday the 13th Part VII: The New BloodÂ ,21359,death|jason voorhees|massacre|slaughter|telekinesis,270,English,USA,R,2800000,1988,5.3
Color,Spike Lee,103,120,27545445,Drama,Do the Right ThingÂ ,59524,black militant|frustration|pizza|pizza parlor|pizzeria,418,English,USA,R,6500000,1989,7.9
Color,Steven Soderbergh,58,100,24741700,Drama,"Sex, Lies, and VideotapeÂ ",37785,affair|interview|marriage|sex|videotape,95,English,USA,R,1200000,1989,7.2
Color,Michael Moore,40,91,6706368,Documentary,Roger & MeÂ ,22800,factory|flint michigan|general motors|michigan|quest,133,English,USA,R,160000,1989,7.5
Color,Dario Argento,76,120,349618,Horror,Two Evil EyesÂ ,4302,black cat|cat|evil|photographer|undead,45,English,Italy,R,9000000,1990,6.1
,Pece Dingo,1,94,,Horror,Midnight CabaretÂ ,47,cigarette smoking|death|devil|nightmare|satanic cult,4,English,USA,R,,1990,4.5
Color,Gus Van Sant,63,104,6401336,Drama,My Own Private IdahoÂ ,36996,friend|hustler|italy|narcolepsy|traveling,153,English,USA,R,2500000,1991,7.1
Color,Tim Burton,153,126,162831698,Action,Batman ReturnsÂ ,215255,box office hit|dc comics|gotham|mayor|penguin,610,English,USA,PG-13,80000000,1992,7
Color,Richard Donner,10,114,4651977,Drama,Radio FlyerÂ ,10410,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,71,English,USA,PG-13,35000000,1992,6.9
Color,Jonathan Demme,68,125,77324422,Drama,PhiladelphiaÂ ,178731,aids|city name in title|gay|homophobia|lawyer,261,English,USA,PG-13,26000000,1993,7.7
Color,Jon Hess,19,87,1200000,Action,Excessive ForceÂ ,922,exercise bicycle|face in food|police|police brutality|policeman,23,English,USA,R,3000000,1993,5.1
Color,Richard Linklater,152,102,7993039,Comedy,Dazed and ConfusedÂ ,120036,football|hazing|high school|last day of school|pledge,408,English,USA,R,6900000,1993,7.7
Color,Peter Farrelly,84,113,127175354,Comedy,Dumb & DumberÂ ,288451,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,438,English,USA,PG-13,16000000,1994,7.3
Color,Tom Shadyac,61,78,72217000,Comedy,Ace Ventura: Pet DetectiveÂ ,216486,detective|dolphin|mascot|nudity|stupidity,242,English,USA,PG-13,12000000,1994,6.9
Color,Hart Bochner,15,79,4350774,Comedy,PCUÂ ,10476,college|high school senior|meat|protest|university,52,English,USA,PG-13,8000000,1994,6.5
 Black and White,Kevin Smith,136,102,3151130,Comedy,ClerksÂ ,181749,clerk|friend|hockey|video|video store,615,English,USA,R,230000,1994,7.8
Color,Paul Verhoeven,181,131,20302961,Drama,ShowgirlsÂ ,49874,cult film|lap dance|lap dancing|stripper|striptease,450,English,France,NC-17,45000000,1995,4.6
Color,Jonathan Lynn,23,93,30400000,Comedy,Sgt. BilkoÂ ,17810,greenland|military|revenge|soldier|u.s. soldier,73,English,USA,PG,39000000,1996,5.7
Color,Hugh Wilson,50,103,105444419,Comedy,The First Wives ClubÂ ,31817,cult film|female therapist|revenge|revenge motive|therapy session,117,English,USA,PG,26000000,1996,6.2
Color,Jerry Zaks,45,98,12782508,Drama,Marvin's RoomÂ ,20163,house|leukemia|mental institution|nursing home|transplant,71,English,USA,PG-13,23000000,1996,6.7
Color,Kenneth Branagh,85,150,4414535,Drama,HamletÂ ,30618,classic literature|denmark|funeral|madness|prince,224,English,UK,PG-13,18000000,1996,7.8
Color,David O. Russell,50,92,14891000,Comedy,Flirting with DisasterÂ ,15088,adoption|armpit fetish|mistaken identity|new mexico|overalls,105,English,USA,R,7000000,1996,6.8
Color,Billy Bob Thornton,104,148,24475416,Drama,Sling BladeÂ ,72443,friend|mental institution|murder|repair shop|small town,309,English,USA,R,890000,1996,8
Color,Christopher Guest,50,84,2892582,Comedy,Waiting for GuffmanÂ ,22697,amateur theater|dentist|missouri|small town|travel agent,202,English,USA,R,4000000,1996,7.6
Color,Danny Boyle,134,94,16501785,Drama,TrainspottingÂ ,469561,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,514,English,UK,R,3500000,1996,8.2
Color,Kenneth Branagh,85,150,4414535,Drama,HamletÂ ,30618,classic literature|denmark|funeral|madness|prince,224,English,UK,PG-13,18000000,1996,7.8
Color,Joel Schumacher,183,125,107285004,Action,Batman & RobinÂ ,189855,butler|critically bashed|cure|freeze|gotham,1018,English,USA,PG-13,125000000,1997,3.7
Color,Frank Oz,83,90,63826569,Comedy,In & OutÂ ,32416,academy award|gay|high school|reporter|teacher,138,English,USA,PG-13,35000000,1997,6.3
Color,Woody Allen,104,96,10569071,Comedy,Deconstructing HarryÂ ,35586,marriage|novelist|panties pulled down|writer's block|writing,131,English,USA,R,20000000,1997,7.4
Color,Ang Lee,124,112,7837632,Drama,The Ice StormÂ ,46396,ice|ice storm|storm|thanksgiving|virgin,287,English,USA,R,18000000,1997,7.5
Color,Paul Thomas Anderson,153,155,26384919,Drama,Boogie NightsÂ ,189032,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,560,English,USA,R,15000000,1997,7.9
Color,Lionel C. Martin,11,93,13960203,Comedy,How to Be a PlayerÂ ,2301,breaking the fourth wall|doorman|friend|party|sex,15,English,USA,R,,1997,5.3
Color,Gus Van Sant,161,126,138339411,Drama,Good Will HuntingÂ ,604904,friend|genius|janitor|loss of wife|professor,682,English,USA,R,10000000,1997,8.3
Color,Arthur Hiller,29,86,15447,Comedy,An Alan Smithee Film: Burn Hollywood BurnÂ ,2971,box office flop|critically bashed|director|hollywood|mockumentary,85,English,USA,R,10000000,1997,3.5
Color,Robert Duvall,95,134,20733485,Drama,The ApostleÂ ,11622,church|louisiana|minister|preacher|texas,157,English,USA,PG-13,5000000,1997,7.2
Color,Kasi Lemmons,31,109,14821531,Drama,Eve's BayouÂ ,6915,doctor|louisiana|secret|title directed by female|witchcraft,209,English,USA,R,6000000,1997,7.3
Color,Atom Egoyan,120,112,4306697,Drama,The Sweet HereafterÂ ,26720,anger|bus|child|lawyer|school,196,English,Canada,R,5000000,1997,7.7
Color,Victor Nunez,61,113,9054736,Drama,Ulee's GoldÂ ,5744,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,57,English,USA,R,2700000,1997,7.1
Color,Christopher Scott Cherot,25,84,2301777,Comedy,Hav PlentyÂ ,819,friend|new year's eve|screwball|self discovery|social differences,36,English,USA,R,650000,1997,6.5
Color,Roger Nygard,43,86,617172,Documentary,TrekkiesÂ ,4407,autograph|dentist|outer space|star trek|telephone call,75,English,USA,PG,375000,1997,7
Color,Steven Zaillian,110,115,56702901,Drama,A Civil ActionÂ ,23302,1980s|law firm|lawsuit|lawyer|toxic waste,181,English,USA,PG-13,60000000,1998,6.5
Color,Carl Franklin,64,127,23209440,Drama,One True ThingÂ ,9283,cancer|job|love|new york|professor,112,English,USA,R,30000000,1998,7
Color,Alan Cohn,37,96,15062898,Comedy,Dead Man on CampusÂ ,11729,college|college roommate|party|roommate|student,106,English,USA,R,14000000,1998,6
Color,Bob Saget,32,82,9975684,Comedy,Dirty WorkÂ ,20033,cult film|gambling debt|job|off screen murder|revenge,117,English,Canada,PG-13,13000000,1998,6.4
Color,John Turturro,36,119,836641,Drama,IlluminataÂ ,1402,critic|new york|new york city|playwright|theater critic,40,English,Spain,R,,1998,6.2
Color,Alex Zamm,12,95,306715,Comedy,Chairman of the BoardÂ ,5143,box office flop|company|invention|roommate|surfer,62,English,USA,PG-13,10000000,1998,2.3
Color,Gary Sinyor,12,94,69582,Comedy,Stiff Upper LipsÂ ,867,class conflict|edwardian era|england|sexual awakening|spoof,21,English,UK,R,,1998,6.4
Color,Morgan J. Freeman,31,90,99147,Drama,Desert BlueÂ ,1884,cola|desert|ice cream cone|teenage girl|vomiting,28,English,USA,R,2000000,1998,6.2
Color,Michael Martin,19,93,10305534,Comedy,I Got the Hook UpÂ ,1721,friend|obscenity|scam|vacant lot|van,38,English,USA,R,3500000,1998,3.9
Color,Kirk Jones,94,91,24788807,Comedy,Waking Ned DevineÂ ,21245,dead body|death|lottery|small town|village,213,English,UK,PG,3000000,1998,7.4
Color,Walter Salles,71,113,5595428,Drama,Central StationÂ ,28951,brazil|letter|rio de janeiro brazil|sertao|teacher,257,Portuguese,Brazil,R,2900000,1998,8
Color,Thomas Vinterberg,98,105,1647780,Drama,The CelebrationÂ ,65951,dogme 95|family secret|haunted by the past|secret|speech,258,Danish,Denmark,R,1300000,1998,8.1
Color,Marc Levin,16,100,982214,Drama,SlamÂ ,1976,gang|independent film|prison|racial slur|urban setting,51,English,USA,R,1000000,1998,7.2
Color,Jennifer Wynne Farmer,2,107,10508,Drama,Naturally NativeÂ ,103,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,6,English,USA,PG-13,700000,1998,6.5
Color,Scott Ziehl,18,90,13493,Drama,Broken VesselsÂ ,531,independent film|katana sword|los angeles storm drain,19,English,USA,R,600000,1998,6.6
Color,David Fincher,315,151,37023395,Drama,Fight ClubÂ ,1347461,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,2968,English,USA,R,63000000,1999,8.8
Color,Frank Oz,140,85,66365290,Comedy,BowfingerÂ ,56874,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,358,English,USA,PG-13,55000000,1999,6.4
Color,Sam Weisman,62,90,28535768,Comedy,The Out-of-TownersÂ ,10446,job interview|manhattan new york city|new york city|remake|sausage,105,English,USA,PG-13,40000000,1999,5.3
Color,Ulu Grosbard,54,106,13376506,Drama,The Deep End of the OceanÂ ,10413,basketball|boy|italian|kidnapping a child|reunion,111,English,USA,PG-13,40000000,1999,6.3
Color,Paul Thomas Anderson,224,188,22450975,Drama,MagnoliaÂ ,241030,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1437,English,USA,R,37000000,1999,8
Color,Rupert Wainwright,131,103,50041732,Horror,StigmataÂ ,54390,catholic|priest|stigmata|vatican|wound,398,English,USA,R,29000000,1999,6.2
Color,Tim Robbins,70,132,2899970,Drama,Cradle Will RockÂ ,8039,1930s|depression|play|theatre|union,161,English,USA,R,32000000,1999,6.9
Color,Alan Parker,99,145,13038660,Drama,Angela's AshesÂ ,16995,drink|ira|irish|limerick|prejudice,163,English,USA,R,25000000,1999,7.3
Color,Sam Mendes,176,122,130058047,Drama,American BeautyÂ ,822500,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,2715,English,USA,R,15000000,1999,8.4
Color,Albert Brooks,97,97,11614236,Comedy,The MuseÂ ,9294,directed by star|muse|satire|screenwriter|tiffany's,140,English,USA,PG-13,15000000,1999,5.6
Color,Tony Goldwyn,47,107,4741987,Drama,A Walk on the MoonÂ ,6782,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,114,English,USA,R,14000000,1999,6.6
Color,Andrew Fleming,81,94,6241697,Comedy,DickÂ ,16059,political cover up|political satire|teenage girl|white house|witness,210,English,France,PG-13,13000000,1999,6.1
Color,Paul Weitz,145,95,101736215,Comedy,American PieÂ ,315549,1990s|first love|milf|prom|virginity,789,English,USA,R,11000000,1999,7
Color,Alan Rudolph,42,110,175370,Comedy,Breakfast of ChampionsÂ ,6884,breakfast|manitoba|science fiction writer|suicide|writer,133,English,USA,R,12000000,1999,4.6
Color,Mike Judge,144,89,10824921,Comedy,Office SpaceÂ ,200293,boss|computer|downsizing|neighbor|office,621,English,USA,R,10000000,1999,7.8
Color,Steve Rash,11,89,4692814,Comedy,Held UpÂ ,2870,hold up|hostage|stockholm syndrome|swat team|vegetarian,34,English,USA,PG-13,8000000,1999,5.1
Color,Jeff Franklin,45,94,2800000,Comedy,Love StinksÂ ,4377,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,85,English,USA,R,4000000,1999,5.8
Color,Mike Figgis,31,106,399793,Drama,The Loss of Sexual InnocenceÂ ,2877,1950s|italian|murder|tunisia|vomiting,70,English,USA,R,4000000,1999,5.4
Color,Kevin Allen,33,86,185577,Comedy,The Big TeaseÂ ,2133,competition|fake documentary|hairdresser|nudity|reference to liberace,31,English,UK,R,4000000,1999,6.3
Color,David Raynr,16,94,9016377,Comedy,Trippin'Â ,1004,apostrophe in title|bare breasts|female nudity|nude black woman|prom,8,English,USA,R,,1999,5.2
Color,Alison Maclean,74,107,1282084,Drama,Jesus' SonÂ ,6221,hospital|love|mennonite|shower|song,87,English,USA,R,2500000,1999,7
Color,Rich Cowan,14,105,609042,Drama,The BasketÂ ,449,basketball|german immigrant|opera|two word title|war orphan,38,English,USA,PG,1300000,1999,6.5
 Black and White,Daniel Myrick,360,81,140530114,Horror,The Blair Witch ProjectÂ ,186786,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,3400,English,USA,R,60000,1999,6.4
Color,Michael Polish,54,111,985341,Drama,Twin Falls IdahoÂ ,3479,conjoined twins|independent film|low budget film|separation|twin,87,English,USA,R,500000,1999,7.3
Color,Jay Roach,150,108,166225040,Comedy,Meet the ParentsÂ ,260442,cat|cia|jewish|male nurse|nurse,507,English,USA,PG-13,55000000,2000,7
Color,Bobby Farrelly,155,116,90567722,Comedy,"Me, Myself & IreneÂ ",185878,dissociative identity disorder|limousine|multiple personality|police|rhode island,481,English,USA,R,51000000,2000,6.5
Color,Gus Van Sant,137,136,51768623,Drama,Finding ForresterÂ ,73006,basketball|mentor|new york|school|writing,297,English,USA,PG-13,43000000,2000,7.3
Color,Mimi Leder,157,123,33508922,Drama,Pay It ForwardÂ ,95860,alcoholism|boy|good deed|protective male|teacher,660,English,USA,PG-13,40000000,2000,7.2
Color,Todd Phillips,103,94,68525609,Comedy,Road TripÂ ,132963,blonde|college|friend|highway travel|road trip,302,English,USA,R,15600000,2000,6.5
Color,Reginald Hudlin,58,84,13592872,Comedy,The Ladies ManÂ ,10777,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,79,English,USA,R,11000000,2000,5.1
Color,Steve Carr,55,98,57176582,Comedy,Next FridayÂ ,27492,african american|flashback|marijuana joint|porn magazine|suburb,84,English,USA,R,9500000,2000,6.1
Color,Christopher Guest,119,90,18621249,Comedy,Best in ShowÂ ,45859,dog show|gay|gay character|gay couple|gay interest,340,English,USA,PG-13,6000000,2000,7.5
Color,Darren Aronofsky,234,102,3609278,Drama,Requiem for a DreamÂ ,573541,addiction|diet pill|drug addiction|fast motion scene|heroin,1916,English,USA,R,4500000,2000,8.4
Color,DJ Pooh,22,82,9821335,Comedy,3 StrikesÂ ,1415,adult diaper|diaper|digit in title|dream|sawed off shotgun,10,English,USA,R,6000000,2000,4
Color,Barry Levinson,34,103,75078,Comedy,An Everlasting PieceÂ ,1398,alopecia|belfast northern ireland|ireland|irish republican army|scalper,26,English,USA,R,14000000,2000,6.3
Color,Kenneth Lonergan,122,111,9180275,Drama,You Can Count on MeÂ ,22145,bank|car accident|cheating husband|new york|single mother,231,English,USA,R,1200000,2000,7.7
Color,Catherine Jelski,13,87,58163,Drama,The Young UnknownsÂ ,122,based on play|independent film,3,English,USA,R,,2000,4.2
Color,Marc Forster,24,87,,Drama,Everything Put TogetherÂ ,601,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,10,English,USA,R,100000,2000,6.6
Color,Jon Shear,38,106,1027119,Drama,UrbaniaÂ ,2742,hot dog bun|needle|new york|rat|tourist,73,English,USA,R,225000,2000,7
Color,Keenen Ivory Wayans,127,83,71277420,Comedy,Scary Movie 2Â ,119590,blow job|demon|exorcism|priest|professor,548,English,USA,R,45000000,2001,5.2
Color,Lasse HallstrÃ¶m,119,111,11405825,Drama,The Shipping NewsÂ ,28542,employee employer relationship|husband wife relationship|newspaper|ship|wake,208,English,USA,R,35000000,2001,6.8
Color,J.B. Rogers,142,108,145096820,Comedy,American Pie 2Â ,200260,beach|beach house|college|party|student,431,English,USA,R,30000000,2001,6.4
Color,Ben Stiller,135,90,45162741,Comedy,ZoolanderÂ ,201084,fashion|malaysia|male model|reporter|rival,523,English,Germany,PG-13,28000000,2001,6.6
Color,Jacques Perrin,100,81,10762178,Documentary,Winged MigrationÂ ,10369,arctic|bad weather|flight|migration|ocean,153,English,France,G,160000000,2001,8
Color,Jessie Nelson,129,132,40270895,Drama,I Am SamÂ ,121937,child custody|custody battle|disability|mentally impaired man|single father,431,English,USA,PG-13,22000000,2001,7.6
Color,Kevin Smith,181,104,30059386,Comedy,Jay and Silent Bob Strike BackÂ ,128593,internet|jay and silent bob|new jersey|orangutan|police,867,English,USA,R,22000000,2001,6.9
Color,Steve Beck,149,91,41867960,Horror,Thir13en GhostsÂ ,65512,collector|ghost|ghost hunter|glass house|machine,478,English,USA,R,20000000,2001,5.5
Color,Irwin Winkler,99,125,15561627,Drama,Life as a HouseÂ ,39105,cancer|construction|house|house construction|neighbor,359,English,USA,R,18000000,2001,7.5
Color,Joel Gallen,97,99,37882551,Comedy,Not Another Teen MovieÂ ,80305,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,393,English,USA,R,16000000,2001,5.7
Color,Tom Green,97,87,14249005,Comedy,Freddy Got FingeredÂ ,39788,animator|bamboo cane|cartoonist|sausage|slacker,619,English,USA,R,15000000,2001,4.5
Color,Fred Schepisi,61,109,2326407,Drama,Last OrdersÂ ,5016,ashes|butcher|friend|friendship|memory,99,English,UK,R,12000000,2001,7
Color,Gregory Poirier,75,95,13558739,Comedy,TomcatsÂ ,15427,box office flop|critically bashed|dominatrix|friend|money,121,English,USA,R,11000000,2001,5.3
Color,DJ Pooh,27,93,10097096,Comedy,The WashÂ ,5612,african american stereotype|car wash|rent|roommate|threatening telephone call,38,English,USA,R,4000000,2001,4.6
Color,Jill Sprecher,79,104,3287435,Drama,Thirteen Conversations About One ThingÂ ,8603,attorney|happiness|house cleaner|physics|professor,115,English,USA,R,4500000,2001,7.1
 Black and White,Henry Bean,84,98,406035,Drama,The BelieverÂ ,30314,jew|jewish nazi|nazism|racism|skinhead,159,English,USA,R,1500000,2001,7.2
Color,Callie Khouri,93,116,69586544,Drama,Divine Secrets of the Ya-Ya SisterhoodÂ ,15352,flashback|interview|louisiana|playwright|secret society,199,English,USA,PG-13,27000000,2002,6
Color,Steve Beck,156,91,30079316,Horror,Ghost ShipÂ ,75920,decapitation|ghost ship|passenger|severed head|torso cut in half,474,English,USA,R,35000000,2002,5.5
Color,Peter Kosminsky,103,109,16346122,Drama,White OleanderÂ ,25549,california|foster home|love|oleander|prison,171,English,USA,PG-13,16000000,2002,7.2
Color,Mort Nathan,63,97,8586376,Comedy,Boat TripÂ ,26598,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,132,English,USA,R,20000000,2002,4.9
Color,Ed Decter,49,92,28972187,Comedy,The New GuyÂ ,28805,cheerleader|geek|high school|prison|reference to janet jackson,159,English,USA,PG-13,13000000,2002,5.9
Color,Michael Hoffman,83,109,14060950,Drama,The Emperor's ClubÂ ,14354,classroom|fund raising|headmaster|reunion|roman,139,English,USA,PG-13,12500000,2002,6.9
Color,Wallace Wolodarsky,53,93,10198766,Comedy,Sorority BoysÂ ,12007,college|cruise|drag|female armpit hair|sorority,105,English,USA,R,12000000,2002,5.4
Color,Jaume BalaguerÃ³,108,103,22160085,Horror,DarknessÂ ,16747,9 year old|blood|gramophone|house|missing children,349,English,USA,PG-13,10600000,2002,5.4
Color,Mike Leigh,81,121,112935,Drama,All or NothingÂ ,8161,love|neighbor|single parent|supermarket|working class,94,English,UK,R,9000000,2002,7.6
Color,Lynne Ramsay,75,97,267194,Drama,Morvern CallarÂ ,6906,breasts|cleavage|female rear nudity|girl in panties|public nudity,111,English,UK,R,,2002,6.7
Color,Spike Lee,202,108,13060843,Drama,25th HourÂ ,149528,bar|dream|drug dealing|nightclub|widower,454,English,USA,R,15000000,2002,7.7
Color,Pete Jones,31,91,119841,Drama,Stolen SummerÂ ,2419,catholic|catholicism|rabbi|school|summer,55,English,USA,PG,1500000,2002,6.5
Color,Karen Moncrieff,44,88,464126,Drama,Blue CarÂ ,3142,contest|poetry|refusing to eat|starving oneself|teenage girl,68,English,USA,R,1000000,2002,6.7
Color,Neil Burger,31,88,47329,Drama,Interview with the AssassinÂ ,1661,conspiracy theory|kennedy assassination|mock documentary|paranoia,31,English,USA,R,750000,2002,6.6
Color,Mike Newell,141,117,63695760,Drama,Mona Lisa SmileÂ ,61490,art|college|school|student|wellesley college,264,English,USA,PG-13,65000000,2003,6.4
 Black and White,Quentin Tarantino,354,111,70098138,Action,Kill Bill: Vol. 1Â ,735784,bride|coma|japan|revenge|sword,2105,English,USA,R,30000000,2003,8.1
Color,Bobby Farrelly,123,118,33828318,Comedy,Stuck on YouÂ ,44453,actor|conjoined twins|cook|internet|short order cook,154,English,USA,PG-13,55000000,2003,5.8
Color,David Zucker,151,84,110000082,Comedy,Scary Movie 3Â ,111526,crop circle|farm|orchestral music score|reference to michael jackson|videotape,347,English,USA,PG-13,48000000,2003,5.5
Color,Danny DeVito,78,89,9652000,Comedy,DuplexÂ ,46205,christmas|duplex|television|tenant|writer,147,English,USA,PG-13,40000000,2003,5.8
